descriptor_set,endpoint,flat_r2,real_conformer_r2,delta
Final selection (5 descriptors),HLM,0.3518418025808273,0.36298735313567254,0.01114555055484523
Final selection (5 descriptors),MDR1,0.4641015205208735,0.457147988377068,-0.0069535321438055075
Final selection (5 descriptors),SOL,0.24299149066493908,0.2680611411724419,0.025069650507502816
Final selection (5 descriptors),RLM,0.3632093382862346,0.3671345139999041,0.003925175713669515
Final selection (5 descriptors),mean,0.35553603801321865,0.3638327491712716,0.008296711158052972
Post-constant-filter baseline (48 descriptors),HLM,0.4287652285707944,0.4306467518900402,0.0018815233192457925
Post-constant-filter baseline (48 descriptors),MDR1,0.5136445561850852,0.5130477305229671,-0.0005968256621180501
Post-constant-filter baseline (48 descriptors),SOL,0.2732221240686551,0.3128836301586721,0.03966150609001701
Post-constant-filter baseline (48 descriptors),RLM,0.46168369362067735,0.4732762112505286,0.011592517629851251
Post-constant-filter baseline (48 descriptors),mean,0.41932890061130307,0.43246358095555204,0.013134680344248972
