endpoint,ep_short,fraction,n_train,seed,model,arm,R2,RMSE,MSE,MAE,Spearman,CCC
LOG HLM_CLint (mL/min/kg),HLM,0.05,123,0,MeanPredictor,baseline,-7.029451534190656e-06,0.6198919823415963,0.3842660697713938,0.5382124048635646,,3.9862191031158146e-32
LOG HLM_CLint (mL/min/kg),HLM,0.05,123,0,BayesianRidge,baseline,0.04467527480526412,0.6058847225507421,0.36709629702038976,0.506223340247161,0.28424839288081427,0.2505490422802123
LOG HLM_CLint (mL/min/kg),HLM,0.05,123,0,RandomForest,baseline,0.060867643623207957,0.6007280273406763,0.3608741628326203,0.4965092346485923,0.2995753341913951,0.19192051190032428
LOG HLM_CLint (mL/min/kg),HLM,0.05,123,0,LightGBM,baseline,-0.04826665261676322,0.6346735185406321,0.40281047513674617,0.5214150885539157,0.20496093390070302,0.16344208753321585
LOG HLM_CLint (mL/min/kg),HLM,0.05,123,0,LightGBM,tuned,0.039359596091863125,0.6075680353913077,0.36913891762925327,0.5221111946259671,0.2106008237636106,0.06802128529561169
LOG HLM_CLint (mL/min/kg),HLM,0.05,123,0,RandomForest,tuned,0.07607873743138027,0.5958431812865187,0.35502909668563915,0.5100287857843665,0.2987623926703429,0.1120617705118161
LOG HLM_CLint (mL/min/kg),HLM,0.05,123,1,MeanPredictor,baseline,-0.03233306092018884,0.6298315485249636,0.39668777951735357,0.5340066988015497,,3.861396360295378e-32
LOG HLM_CLint (mL/min/kg),HLM,0.05,123,1,BayesianRidge,baseline,-0.14040023397530277,0.6619773677942046,0.43821403547174365,0.5383352946357528,0.16822404151155437,0.12531370548507054
LOG HLM_CLint (mL/min/kg),HLM,0.05,123,1,RandomForest,baseline,-0.09894052519926055,0.6498327385688139,0.42228258811584435,0.5335998336111976,0.15942125063797338,0.1021361093244692
LOG HLM_CLint (mL/min/kg),HLM,0.05,123,1,LightGBM,baseline,-0.12444483894122049,0.6573301770255442,0.43208296162843324,0.5321684485254164,0.1832130335733,0.16215935339213558
LOG HLM_CLint (mL/min/kg),HLM,0.05,123,1,LightGBM,tuned,-0.010876860251107567,0.623251913411155,0.38844294757066594,0.5260017163493607,0.12690456579936205,0.05150048246486032
LOG HLM_CLint (mL/min/kg),HLM,0.05,123,1,RandomForest,tuned,-0.0087658666956838,0.6226008111751409,0.3876317700759434,0.5223119550674741,0.16469463666963324,0.08023655226711474
LOG HLM_CLint (mL/min/kg),HLM,0.05,123,2,MeanPredictor,baseline,-0.00045587803437530106,0.6200310845754692,0.38443854583983256,0.5394174409326835,,3.9844307096098024e-32
LOG HLM_CLint (mL/min/kg),HLM,0.05,123,2,BayesianRidge,baseline,0.022992585357172524,0.6127219273930486,0.37542816030825243,0.5041994394823981,0.27943571318009586,0.2452548503938249
LOG HLM_CLint (mL/min/kg),HLM,0.05,123,2,RandomForest,baseline,0.055967281280561054,0.6022932778753376,0.36275719257381867,0.497715823488301,0.26403237694686305,0.1690572842946048
LOG HLM_CLint (mL/min/kg),HLM,0.05,123,2,LightGBM,baseline,-0.12916460344506886,0.6587082770359964,0.43389659423573107,0.5432425850078593,0.12141265707072145,0.1062420081589783
LOG HLM_CLint (mL/min/kg),HLM,0.05,123,2,LightGBM,tuned,0.03732543749332973,0.6082109586850718,0.36992057026461406,0.524548795099109,0.1878156281930421,0.07218401127002613
LOG HLM_CLint (mL/min/kg),HLM,0.05,123,2,RandomForest,tuned,0.07375464847668822,0.5965921210813298,0.35592215893631995,0.5130306784657511,0.25651200813436287,0.11874110039629261
LOG HLM_CLint (mL/min/kg),HLM,0.05,123,3,MeanPredictor,baseline,-0.009145516598695336,0.6227179583299065,0.38777765562656724,0.5348725476473675,,-3.950121224821343e-32
LOG HLM_CLint (mL/min/kg),HLM,0.05,123,3,BayesianRidge,baseline,-0.0436174073525224,0.6332645106825519,0.4010239404900118,0.5116004039374424,0.2713374441680562,0.2152265659091691
LOG HLM_CLint (mL/min/kg),HLM,0.05,123,3,RandomForest,baseline,-0.08508825300276146,0.6457241418273796,0.41695966733870576,0.5234092636338835,0.2085297191918732,0.09443219173396625
LOG HLM_CLint (mL/min/kg),HLM,0.05,123,3,LightGBM,baseline,-0.028741533831523336,0.628734989657651,0.39530768721980647,0.5159933952723192,0.24266486693781705,0.18708563815668647
LOG HLM_CLint (mL/min/kg),HLM,0.05,123,3,LightGBM,tuned,0.0434431525251594,0.6062753140927668,0.36756975647828305,0.5193930264045985,0.22665226517986015,0.08091447454264654
LOG HLM_CLint (mL/min/kg),HLM,0.05,123,3,RandomForest,tuned,0.02814452715445337,0.6111042937161735,0.3734484577983432,0.5123182323199574,0.22289269852975174,0.09854655173702914
LOG HLM_CLint (mL/min/kg),HLM,0.05,123,4,MeanPredictor,baseline,-0.005669651633164463,0.6216445994666701,0.38644200804607665,0.5354544333268476,,0.0
LOG HLM_CLint (mL/min/kg),HLM,0.05,123,4,BayesianRidge,baseline,-0.13121043978682434,0.6593047354600452,0.4346827342000401,0.5300775385161385,0.2538921237694495,0.2056066345046123
LOG HLM_CLint (mL/min/kg),HLM,0.05,123,4,RandomForest,baseline,-0.00807577455978814,0.6223878155516481,0.38736659294715237,0.49663892873870547,0.2919481192555779,0.1694765440661391
LOG HLM_CLint (mL/min/kg),HLM,0.05,123,4,LightGBM,baseline,-0.14197478606786484,0.6624342066672618,0.4388190781628845,0.5392174137300555,0.14658747090423072,0.11294191902569192
LOG HLM_CLint (mL/min/kg),HLM,0.05,123,4,LightGBM,tuned,0.028723047620168418,0.6109223793374877,0.3732261535753773,0.5226439295784405,0.20869191659090078,0.07210923963864972
LOG HLM_CLint (mL/min/kg),HLM,0.05,123,4,RandomForest,tuned,0.031441845231541476,0.6100667334371384,0.3721814192466604,0.5125254713110504,0.23483111363005982,0.10605149794039291
LOG HLM_CLint (mL/min/kg),HLM,0.05,123,5,MeanPredictor,baseline,-0.006504671184868638,0.6219026253939359,0.3867628754718702,0.5352825668896124,,3.960485468345765e-32
LOG HLM_CLint (mL/min/kg),HLM,0.05,123,5,BayesianRidge,baseline,-0.1396062232243347,0.6617468747382669,0.4379089262258635,0.5342599084080271,0.20905469995059206,0.19256749948388924
LOG HLM_CLint (mL/min/kg),HLM,0.05,123,5,RandomForest,baseline,-0.09707055369864981,0.6492796212478978,0.4215640265678137,0.5317044640283818,0.1498081952719701,0.09671970233490611
