ID	HLM	MDR1	SOL	RLM	PPB_H	PPB_R
mol0	0.675687	1.493167	0.089905	1.392169	0.991226075692	0.518513939878
mol1	0.675687	1.04078	0.550228	1.02792	0.0996806411093	0.268343913951
mol2	0.675687	-0.358806	*	1.02792	*	*
mol3	0.675687	1.026662	1.657056	1.02792	-1.15801519541	-1.40340290437
mol4	0.99638	1.010597	*	1.629093	1.0156112045	1.09226436079
mol5	1.397349	0.860626	1.033424	2.376374	0.163856802639	-0.639532816484
mol6	1.327232	-0.162401	*	3.318276	*	1.34775921793
mol7	1.458063	2.091561	*	2.728062	-0.917214629684	-0.943095148664
mol8	2.7565	0.72516	0.93399	3.2433	0.626032247829	-0.358525889496
mol9	1.630824	1.301829	*	3.192741	-1.38407821342	-0.504455662454
mol10	0.675687	2.305351	*	1.283686	1.37859773945	2.0
mol11	1.1983	0.097723	1.75161	2.138776	1.7297990229	1.6260767675
mol12	2.004111	0.891865	*	2.365561	-0.449771646945	-0.325138859262
mol13	1.884824	0.799893	*	2.160424	*	-0.0555173278498
mol14	1.155882	0.402661	*	2.238814	-1.22184874962	-0.686132779631
mol15	1.564145	1.868345	1.818226	2.212515	1.7309840385	1.61513959433
mol16	1.048286	1.41464	1.414137	1.849837	*	1.07250723553
mol17	0.983626	1.582757	1.726483	2.252999	1.67718705345	1.38820780743
mol18	1.226136	-0.329004	*	2.208589	0.653405490665	0.640978057358
mol19	2.565946	*	*	3.372693	0.713910354129	0.631443769013
mol20	0.675687	1.817231	1.729974	1.435765	1.82822796475	1.74597992971
mol21	0.860996	1.600469	*	1.511656	1.64299593367	1.78641244084
mol22	0.675687	2.056502	1.22981	1.417438	1.18656648148	1.23657756537
mol23	2.282136	1.393232	1.004321	3.1616	0.752995432067	0.901294817166
mol24	1.066177	1.882226	1.475235	1.571266	-0.354577730651	-0.0824944904475
mol25	1.057095	0.531991	0.380211	1.63763	*	*
mol26	0.675687	1.726392	0.342423	1.02792	1.55958347589	1.36410052131
mol27	0.675687	0.448798	1.610128	1.436051	*	1.61528706275
mol28	0.675687	0.832551	*	1.02792	-0.467245621008	-0.29584948316
mol29	0.932981	*	0.39794	2.281224	0.731266349075	0.455758203104
mol30	0.990827	1.931719	*	2.322653	-0.0496351456239	-0.308918507877
