endpoint,ep_short,noise_type,noise_level,seed,model,arm,R2,RMSE,MSE,MAE,Spearman,CCC
LOG HLM_CLint (mL/min/kg),HLM,gaussian,0.0,0,MeanPredictor,baseline,-0.0010183981987621493,0.6202053706096967,0.3846547017331112,0.5369857228715365,,0.0
LOG HLM_CLint (mL/min/kg),HLM,gaussian,0.0,0,BayesianRidge,baseline,0.3196803285803046,0.5112943659691889,0.26142192867183484,0.41562014253553714,0.5531866788426242,0.48531887966608417
LOG HLM_CLint (mL/min/kg),HLM,gaussian,0.0,0,RandomForest,baseline,0.2453448957982911,0.538503772020014,0.28998631247978324,0.44819497018074433,0.48722960986798575,0.36810488276274955
LOG HLM_CLint (mL/min/kg),HLM,gaussian,0.0,0,LightGBM,baseline,0.32899966567739847,0.5077803154964627,0.2578408488056872,0.4181031835636731,0.5520668829148699,0.4999294216958108
LOG HLM_CLint (mL/min/kg),HLM,gaussian,0.0,0,LightGBM,tuned,0.32007497630712634,0.5111460456727722,0.26127028000691177,0.4150140767294821,0.5479266522134538,0.5191108811964252
LOG HLM_CLint (mL/min/kg),HLM,gaussian,0.0,0,RandomForest,tuned,0.25209113067532385,0.5360913928990988,0.2873939815404959,0.44917588651987056,0.4983332553676441,0.3693675402827966
LOG HLM_CLint (mL/min/kg),HLM,gaussian,0.0,1,MeanPredictor,baseline,-0.0010183981987621493,0.6202053706096967,0.3846547017331112,0.5369857228715365,,0.0
LOG HLM_CLint (mL/min/kg),HLM,gaussian,0.0,1,BayesianRidge,baseline,0.3196803285803046,0.5112943659691889,0.26142192867183484,0.41562014253553714,0.5531866788426242,0.48531887966608417
LOG HLM_CLint (mL/min/kg),HLM,gaussian,0.0,1,RandomForest,baseline,0.2501745361288277,0.5367778484784868,0.2881304586171933,0.4474055164306149,0.48717439615249414,0.3726375847466556
LOG HLM_CLint (mL/min/kg),HLM,gaussian,0.0,1,LightGBM,baseline,0.32899966567739847,0.5077803154964627,0.2578408488056872,0.4181031835636731,0.5520668829148699,0.4999294216958108
LOG HLM_CLint (mL/min/kg),HLM,gaussian,0.0,1,LightGBM,tuned,0.32007497630712634,0.5111460456727722,0.26127028000691177,0.4150140767294821,0.5479266522134538,0.5191108811964252
LOG HLM_CLint (mL/min/kg),HLM,gaussian,0.0,1,RandomForest,tuned,0.2514376471737797,0.5363255460185825,0.2876450913121307,0.4466012214541425,0.4952983286024569,0.3699807540534734
LOG HLM_CLint (mL/min/kg),HLM,gaussian,0.0,2,MeanPredictor,baseline,-0.0010183981987621493,0.6202053706096967,0.3846547017331112,0.5369857228715365,,0.0
LOG HLM_CLint (mL/min/kg),HLM,gaussian,0.0,2,BayesianRidge,baseline,0.3196803285803046,0.5112943659691889,0.26142192867183484,0.41562014253553714,0.5531866788426242,0.48531887966608417
LOG HLM_CLint (mL/min/kg),HLM,gaussian,0.0,2,RandomForest,baseline,0.2547222521864916,0.5351475851813129,0.28638293792539055,0.44706617461302595,0.4934567903116863,0.37826604623782134
LOG HLM_CLint (mL/min/kg),HLM,gaussian,0.0,2,LightGBM,baseline,0.32899966567739847,0.5077803154964627,0.2578408488056872,0.4181031835636731,0.5520668829148699,0.4999294216958108
LOG HLM_CLint (mL/min/kg),HLM,gaussian,0.0,2,LightGBM,tuned,0.32007497630712634,0.5111460456727722,0.26127028000691177,0.4150140767294821,0.5479266522134538,0.5191108811964252
LOG HLM_CLint (mL/min/kg),HLM,gaussian,0.0,2,RandomForest,tuned,0.25609704184021553,0.5346537726621963,0.2858546566219195,0.44599760904998387,0.5131246879896058,0.3709330384694152
LOG HLM_CLint (mL/min/kg),HLM,gaussian,0.0,3,MeanPredictor,baseline,-0.0010183981987621493,0.6202053706096967,0.3846547017331112,0.5369857228715365,,0.0
LOG HLM_CLint (mL/min/kg),HLM,gaussian,0.0,3,BayesianRidge,baseline,0.3196803285803046,0.5112943659691889,0.26142192867183484,0.41562014253553714,0.5531866788426242,0.48531887966608417
LOG HLM_CLint (mL/min/kg),HLM,gaussian,0.0,3,RandomForest,baseline,0.24728415652048308,0.5378114219892131,0.2892411256220594,0.4491452659193528,0.4811818418238082,0.37238425092770516
LOG HLM_CLint (mL/min/kg),HLM,gaussian,0.0,3,LightGBM,baseline,0.32899966567739847,0.5077803154964627,0.2578408488056872,0.4181031835636731,0.5520668829148699,0.4999294216958108
LOG HLM_CLint (mL/min/kg),HLM,gaussian,0.0,3,LightGBM,tuned,0.32007497630712634,0.5111460456727722,0.26127028000691177,0.4150140767294821,0.5479266522134538,0.5191108811964252
LOG HLM_CLint (mL/min/kg),HLM,gaussian,0.0,3,RandomForest,tuned,0.24513686845251748,0.5385779885665894,0.2900662497684333,0.44881006133318774,0.4862104084391319,0.3636790160962249
LOG HLM_CLint (mL/min/kg),HLM,gaussian,0.0,4,MeanPredictor,baseline,-0.0010183981987621493,0.6202053706096967,0.3846547017331112,0.5369857228715365,,0.0
LOG HLM_CLint (mL/min/kg),HLM,gaussian,0.0,4,BayesianRidge,baseline,0.3196803285803046,0.5112943659691889,0.26142192867183484,0.41562014253553714,0.5531866788426242,0.48531887966608417
LOG HLM_CLint (mL/min/kg),HLM,gaussian,0.0,4,RandomForest,baseline,0.24489435369167611,0.538664496052387,0.29015943930737204,0.4488146666061813,0.4808873686745195,0.3688278244035804
LOG HLM_CLint (mL/min/kg),HLM,gaussian,0.0,4,LightGBM,baseline,0.32899966567739847,0.5077803154964627,0.2578408488056872,0.4181031835636731,0.5520668829148699,0.4999294216958108
