endpoint,model,fraction,n_train,seed,noise_type,noise_level,arm,R2,RMSE,MSE,MAE,Pearson,Spearman,CCC
HLM,RF,1.0,2468,0,none,0.0,base,0.2516469382925498,0.529146117566738,0.27999561373595216,0.4295026242662348,0.5055114832156352,0.517841586316416,0.38549778841112226
HLM,RF,1.0,2468,1,none,0.0,base,0.2516469382925498,0.529146117566738,0.27999561373595216,0.4295026242662348,0.5055114832156352,0.517841586316416,0.38549778841112226
HLM,RF,1.0,2468,2,none,0.0,base,0.2516469382925498,0.529146117566738,0.27999561373595216,0.4295026242662348,0.5055114832156353,0.517841586316416,0.38549778841112226
HLM,RF,1.0,2468,3,none,0.0,base,0.2516469382925498,0.529146117566738,0.27999561373595216,0.4295026242662348,0.505511483215635,0.517841586316416,0.38549778841112226
HLM,RF,1.0,2468,4,none,0.0,base,0.2516469382925498,0.529146117566738,0.27999561373595216,0.4295026242662348,0.505511483215635,0.517841586316416,0.3854977884111222
HLM,LightGBM,1.0,2468,0,none,0.0,base,0.30697832673114067,0.5092086265444208,0.2592934253472554,0.40247223468357696,0.5708706085354652,0.5686775695740202,0.5385493286939037
HLM,LightGBM,1.0,2468,1,none,0.0,base,0.30697832673114067,0.5092086265444208,0.2592934253472554,0.40247223468357696,0.5708706085354652,0.5686775695740202,0.5385493286939037
HLM,LightGBM,1.0,2468,2,none,0.0,base,0.30697832673114067,0.5092086265444208,0.2592934253472554,0.40247223468357696,0.5708706085354652,0.5686775695740202,0.5385493286939037
HLM,LightGBM,1.0,2468,3,none,0.0,base,0.30697832673114067,0.5092086265444208,0.2592934253472554,0.40247223468357696,0.5708706085354652,0.5686775695740202,0.5385493286939037
HLM,LightGBM,1.0,2468,4,none,0.0,base,0.30697832673114067,0.5092086265444208,0.2592934253472554,0.40247223468357696,0.5708706085354652,0.5686775695740202,0.5385493286939037
HLM,FCNN,1.0,2468,0,none,0.0,base,0.16090054553095612,0.5603108901389021,0.3139482936082489,0.4268741149411618,0.5137566286832456,0.5301858523259422,0.4668492090752937
HLM,FCNN,1.0,2468,1,none,0.0,base,0.16090054553095612,0.5603108901389021,0.3139482936082489,0.4268741149411618,0.5137566286832456,0.5301858523259422,0.4668492090752937
HLM,FCNN,1.0,2468,2,none,0.0,base,0.16090054553095612,0.5603108901389021,0.3139482936082489,0.4268741149411618,0.5137566286832456,0.5301858523259422,0.4668492090752937
HLM,FCNN,1.0,2468,3,none,0.0,base,0.16090054553095612,0.5603108901389021,0.3139482936082489,0.4268741149411618,0.5137566286832456,0.5301858523259422,0.4668492090752937
HLM,FCNN,1.0,2468,4,none,0.0,base,0.16090054553095612,0.5603108901389021,0.3139482936082489,0.4268741149411618,0.5137566286832456,0.5301858523259422,0.4668492090752937
SOL,RF,1.0,1737,0,none,0.0,base,0.19264253582654134,0.6065509809221161,0.36790409245758127,0.43164558250865875,0.44024274861362084,0.40959143803231035,0.3405126932448774
SOL,RF,1.0,1737,1,none,0.0,base,0.19264253582654134,0.6065509809221161,0.36790409245758127,0.43164558250865875,0.44024274861362095,0.40959143803231035,0.3405126932448774
SOL,RF,1.0,1737,2,none,0.0,base,0.19264253582654134,0.6065509809221161,0.36790409245758127,0.43164558250865875,0.44024274861362084,0.40959143803231035,0.34051269324487726
SOL,RF,1.0,1737,3,none,0.0,base,0.19264253582654134,0.6065509809221161,0.36790409245758127,0.4316455825086588,0.44024274861362095,0.40959143803231035,0.3405126932448774
SOL,RF,1.0,1737,4,none,0.0,base,0.19264253582654134,0.6065509809221161,0.36790409245758127,0.43164558250865875,0.44024274861362095,0.40959143803231035,0.3405126932448773
SOL,LightGBM,1.0,1737,0,none,0.0,base,0.17967735419321684,0.6114018203708148,0.37381218595274607,0.4437964071237645,0.46578230723644987,0.4142999695787691,0.42797700300740193
SOL,LightGBM,1.0,1737,1,none,0.0,base,0.17967735419321684,0.6114018203708148,0.37381218595274607,0.4437964071237645,0.46578230723644987,0.4142999695787691,0.42797700300740193
SOL,LightGBM,1.0,1737,2,none,0.0,base,0.17967735419321684,0.6114018203708148,0.37381218595274607,0.4437964071237645,0.46578230723644987,0.4142999695787691,0.42797700300740193
SOL,LightGBM,1.0,1737,3,none,0.0,base,0.17967735419321684,0.6114018203708148,0.37381218595274607,0.4437964071237645,0.46578230723644987,0.4142999695787691,0.42797700300740193
SOL,LightGBM,1.0,1737,4,none,0.0,base,0.17967735419321684,0.6114018203708148,0.37381218595274607,0.4437964071237645,0.46578230723644987,0.4142999695787691,0.42797700300740193
SOL,FCNN,1.0,1737,0,none,0.0,base,0.0740570604178511,0.6495707930272209,0.4219422151540126,0.4088396625636994,0.46133565149595596,0.5088952758665588,0.45372090737996357
SOL,FCNN,1.0,1737,1,none,0.0,base,0.0740570604178511,0.6495707930272209,0.4219422151540126,0.4088396625636994,0.46133565149595596,0.5088952758665588,0.45372090737996357
SOL,FCNN,1.0,1737,2,none,0.0,base,0.0740570604178511,0.6495707930272209,0.4219422151540126,0.4088396625636994,0.46133565149595596,0.5088952758665588,0.45372090737996357
SOL,FCNN,1.0,1737,3,none,0.0,base,0.0740570604178511,0.6495707930272209,0.4219422151540126,0.4088396625636994,0.46133565149595596,0.5088952758665588,0.45372090737996357
SOL,FCNN,1.0,1737,4,none,0.0,base,0.0740570604178511,0.6495707930272209,0.4219422151540126,0.4088396625636994,0.46133565149595596,0.5088952758665588,0.45372090737996357
HLM,RF,1.0,2468,0,gaussian,0.1,base,0.2519502948256439,0.5290388578984415,0.27988211316648737,0.4310740353163259,0.5058746551258074,0.5186420675545137,0.3851492833277778
HLM,RF,1.0,2468,1,gaussian,0.1,base,0.261105854573372,0.5257913738915986,0.2764565688588148,0.4274671502534679,0.5155816792719204,0.5247472538370258,0.39082131539851483
HLM,RF,1.0,2468,2,gaussian,0.1,base,0.2523245223617848,0.5289065099580812,0.27974209627603785,0.4289697716402127,0.5072813540149608,0.5163036627660882,0.3836112517093695
HLM,RF,1.0,2468,3,gaussian,0.1,base,0.25322404524160014,0.5285882524357576,0.27940554061308814,0.42961432193617344,0.5087852234237804,0.5179799017410358,0.38113088787149024
HLM,RF,1.0,2468,4,gaussian,0.1,base,0.2574157116190169,0.5271026773512741,0.2778372324708814,0.4270510905445341,0.5107547993911528,0.5219499143562416,0.3916789729628513
HLM,RF,1.0,2468,0,gaussian,0.3,base,0.24623033448135712,0.5310576532721382,0.28202223109891056,0.43265457076064023,0.5007617977690845,0.5077726604602608,0.3783298484614702
HLM,RF,1.0,2468,1,gaussian,0.3,base,0.2581828731843345,0.5268303329087254,0.2775501996727184,0.4295895750217838,0.5118300520282054,0.5152132076108367,0.38647352474725366
HLM,RF,1.0,2468,2,gaussian,0.3,base,0.24561039905717674,0.5312759917133394,0.28225417937099223,0.4311693345775434,0.5022327098635219,0.5108396893098671,0.3749785575108982
HLM,RF,1.0,2468,3,gaussian,0.3,base,0.24307045864856747,0.5321696118272117,0.2832044957523252,0.43484765384944685,0.4986371014208861,0.5061031830014238,0.3686060367352901
HLM,RF,1.0,2468,4,gaussian,0.3,base,0.26420353782792205,0.5246880725742477,0.275297573501679,0.4260707884904824,0.5167473588426138,0.521871604173455,0.3984611018950434
HLM,RF,1.0,2468,0,gaussian,0.5,base,0.2386892225896139,0.5337075334090147,0.2848437312175345,0.43483395758059623,0.4928376771761373,0.501862709741794,0.37482959295115714
HLM,RF,1.0,2468,1,gaussian,0.5,base,0.25118756948450405,0.5293084980948547,0.2801674861554308,0.43319857392491207,0.5034925327840217,0.5058008429654516,0.38087044693665983
HLM,RF,1.0,2468,2,gaussian,0.5,base,0.23753517495523435,0.5341118956592001,0.2852755170846643,0.43388218042872384,0.49525211361982335,0.5019401458122318,0.3663209584209858
HLM,RF,1.0,2468,3,gaussian,0.5,base,0.23468176889881787,0.5351103777273322,0.2863431163514881,0.4392404898256428,0.48999073508045826,0.4919110949046984,0.35876913147679984
HLM,RF,1.0,2468,4,gaussian,0.5,base,0.26638692428276345,0.5239090202087683,0.27448066145611155,0.42631851789417996,0.5178158504562621,0.5190072922612331,0.4056643851514108
HLM,RF,1.0,2468,0,gaussian,1.0,base,0.21734025748880414,0.5411390089323489,0.2928314269882848,0.44063783605746065,0.47410013230755316,0.4803217534543802,0.36372555269833984
HLM,RF,1.0,2468,1,gaussian,1.0,base,0.1949682880051421,0.5488186211431181,0.30120187891343336,0.4485056209732649,0.44403909619738474,0.44700992314913135,0.35121508046766964
HLM,RF,1.0,2468,2,gaussian,1.0,base,0.20588422814924312,0.5450850299633702,0.2971176898901681,0.4399047544735337,0.46183930527872613,0.47074343600863805,0.3549802629602512
