stage,n_descriptors,mean_cv_r2,delta_from_prev_technique,delta_real_vs_flat,HLM_cv_r2,MDR1_cv_r2,SOL_cv_r2,RLM_cv_r2
"-- 50-descriptor baseline, real conformers spliced in",50,0.4288480983098403,,0.009519197698537207,0.43583651481355384,0.5128176842155311,0.2982396691762966,0.4684985250339797
"-- 50-descriptor baseline, flat (verifies ""flat 48 == flat 50"")",50,0.41932890061130307,0.0,,0.4287652285707944,0.5136445561850852,0.2732221240686551,0.46168369362067735
Post constant-filter (start),48,0.41932890061130307,,,0.4287652285707944,0.5136445561850852,0.2732221240686551,0.46168369362067735
"-- 48-descriptor baseline, real conformers spliced in",48,0.43246358095555204,,0.013134680344248972,0.4306467518900402,0.5130477305229671,0.3128836301586721,0.4732762112505286
Post correlation-prune (CCA),27,0.405669333262216,-0.013659567349087076,,0.414274438219463,0.5054013609332417,0.2754365837612617,0.4275649501348976
Post VIF-prune,16,0.38243397587932665,-0.023235357382889343,,0.38594834751698637,0.49019295260210993,0.25785773502697973,0.3957368683712306
"RFE trace, N=5 (flat descriptors)",5,0.3606483773464999,-0.021785598532826744,,0.3555228082329162,0.4528930035631899,0.27189075156088527,0.36228694602900813
"-- same 5 descriptors, real conformers spliced in",5,0.3606483773464999,,0.0,0.3555228082329162,0.4528930035631899,0.27189075156088527,0.36228694602900813
"-- hand-picked N=3 (CalcTPSA, PEOE_VSA, SlogP_VSA)",3,0.3545490238017651,-0.006099353544734787,,0.350855761190661,0.4548780872338112,0.250226551131503,0.3622356956510853
"-- RFE trace continued to N=2 (CalcTPSA, CalcChi3v)",2,0.06633829752432124,-0.29431007982217866,,0.06653790917199895,0.23207639771870214,-0.15482871014344307,0.12156759335002695
