,mean_cv_r2,HLM,MDR1,SOL,RLM
PEOE_VSA,0.2650548018800568,0.2690376100864668,0.36919473228313937,0.10623099085060037,0.3157558743000207
SlogP_VSA,0.2545672867697919,0.25353257043835437,0.34790243360737216,0.1792704803976898,0.23756366263575127
CalcNumAromaticCarbocycles,0.06514338308458463,0.08282571845531375,-0.0012436331586546778,0.12038335229079425,0.0586080947508852
CalcNumAromaticRings,0.06095912159079077,0.05916132877785352,0.025793967896758186,0.13231723996519232,0.02656394972335907
CalcNumHeteroatoms,0.04960077236176519,-0.004358387683451181,0.18288458957468517,0.01435849253053174,0.0055183950252950306
CalcNumRotatableBonds,0.04698865755125926,0.04553984048727881,0.1003427061052244,-0.001891326821885908,0.04396341043441974
CalcChi3v,0.04041249973430265,0.04110495572492272,0.13469335019626266,-0.0809689562226322,0.06682064923865742
CalcTPSA,0.03804695245344719,-0.010275563526736465,0.1974160900283603,-0.05564871754719718,0.02069600085936214
CalcNumLipinskiHBD,0.03387277760935277,0.017513530662820555,0.07632336591718733,0.00211582081408368,0.03953839304331952
CalcNumSaturatedRings,0.022004228425565285,-0.0012230233237150666,0.05490779011153246,0.03295736110683363,0.0013747858076101015
CalcNumAliphaticHeterocycles,0.02049575585827019,-0.002678917194985142,0.06111130702144083,0.022128675744371808,0.0014219578622532536
CalcNumAmideBonds,0.016954733561829263,-0.0055072177621277255,0.07204881354116707,0.00012163167283563148,0.0011557067954420797
CalcPMI3,0.01678704913089149,0.00896200770929847,0.12256402884190165,-0.0726273827451935,0.008249542717559333
CalcPMI1,0.0058012314035257055,0.015540329167053191,0.0842945764027327,-0.0510871699614396,-0.025542809994243475
CalcInertialShapeFactor,-0.009547683604692854,0.0011767020123623073,0.06965050223632538,-0.05611167100871053,-0.052906267658748576
CalcEccentricity,-0.08624737596599553,-0.058565592405836184,-0.08566483405313563,-0.10419086808543723,-0.09656820931957308
