compound_id,SMILES,binding_mode_class,pic50,pic50_date,DATESOLVED,docking_folder,aminohetaryl_c1_amide_split,aryl_c1_amide_c2_hetaryl_split,temporal_2012_split,c1_hetaryl_alkyl_c2_hetaryl_split,temporal_2013_split,temporal_2011_split,random_split
0,Cn1ncc(C(=O)N2CCC2)c1C(=O)NCCc1nc(-c2cccc(F)c2)nn1-c1ccccc1,aryl_c1_amide_c2_hetaryl,9.1813697431744825,14-Nov-2011,08-Nov-11,5sf8_0,train,test,val,val,train,test,val
1,CCN(C)C(=O)c1cnn(C)c1C(=O)Nc1ccn2cc(-c3cccc(OCCCF)c3)nc2n1,aryl_c1_amide_c2_hetaryl,8.217885852520929,11-Apr-2011,21-Jul-10,5sfr_1,train,test,train,val,train,test,train
2,Cn1cncc1Cn1nc(-c2ccccn2)cc1NC(=O)c1nc(C2CC2)ccc1Nc1cncnc1,aminohetaryl_c1_amide,8.8198741248359456,11-Jan-2010,15-Jun-09,5sf4_2,test,train,train,train,train,train,train
3,COCCN(C)C(=O)c1cnn(C)c1C(=O)Nc1ccn2cc(-c3cccc(OCCCF)c3)nc2n1,aryl_c1_amide_c2_hetaryl,7.8203046166754933,11-Apr-2011,21-Jul-10,5sfr_3,train,test,train,val,train,test,train
4,CNC(=O)c1cc(CCc2nc(-c3ccccn3)cn2C)nn2c(C)c(C(F)(F)F)nc12,c1_hetaryl_alkyl_c2_hetaryl,8.096503243158946,15-Apr-2013,13-Oct-11,5sem_4,val,val,,test,test,,train
5,O=C(Nc1cc(-c2ccccn2)nn1Cc1ccccc1)c1nc(C2CC2)ccc1Nc1cncnc1,aminohetaryl_c1_amide,8.7659891824128207,14-Sep-2009,15-Jun-09,5sf4_5,test,train,train,train,train,train,val
6,O=C(Nc1cc(-c2ccc3ccccc3n2)nn1CCO)c1nc(C2CC2)ccc1Nc1cncnc1,aminohetaryl_c1_amide,10.049707206675019,21-Sep-2009,27-Jul-09,5se0_6,test,train,train,train,train,train,val
7,O=C(Nc1cc(-c2ccccn2)nn1CC1CCCCC1)c1nc(C2CC2)ccc1Nc1cncnc1,aminohetaryl_c1_amide,8.976747540366288,14-Sep-2009,15-Jun-09,5sf4_7,test,train,train,train,train,train,train
8,O=C(Nc1cc(-c2ccccn2)nn1CC1CCCC1)c1nc(C2CC2)ccc1Nc1cncnc1,aminohetaryl_c1_amide,8.950007143079857,14-Sep-2009,27-Jul-09,5se0_8,test,train,train,train,train,train,train
9,Cc1cc(CCc2nc(-c3ccccn3)cn2C)nn2c(C)c(C(F)(F)F)nc12,c1_hetaryl_alkyl_c2_hetaryl,8.42987014300335,15-Apr-2013,13-Oct-11,5sem_9,val,val,,test,test,,train
10,COCCn1cc(-c2ccccc2)nc1CCNC(=O)c1c(C(=O)N2CCC2)cnn1C,aryl_c1_amide_c2_hetaryl,8.5129141153932095,04-Jul-2011,16-May-11,5sfo_10,train,test,val,val,train,test,train
11,Cn1ncc(C(=O)N2CCC2)c1C(=O)Nc1ccn2nc(-c3ccccc3OCCCF)nc2c1,aryl_c1_amide_c2_hetaryl,9.52432881167557,15-Sep-2011,04-Feb-10,5se7_11,train,test,val,val,train,test,test
12,CN1CCC(n2nc(-c3ccccn3)cc2NC(=O)c2nc(C3CC3)ccc2Nc2cncnc2)CC1,aminohetaryl_c1_amide,8.3818472666214805,28-Jul-2009,15-Jun-09,5sf4_12,test,train,train,train,train,train,test
13,O=C(Nc1cc(-c2ccccn2)nn1C1CCCCC1)c1nc(C2CC2)ccc1Nc1cncnc1,aminohetaryl_c1_amide,8.878768544850378,14-Sep-2009,15-Jun-09,5sf4_13,test,train,train,train,train,train,train
14,Cn1ncc(C(=O)N2CCC2)c1C(=O)Nc1ccn2nc(-c3ccccc3OCCF)nc2c1,aryl_c1_amide_c2_hetaryl,9.4621809049267256,31-Aug-2011,04-Feb-10,5se7_14,train,test,val,val,train,test,train
15,Cc1c(C(F)F)nc2ccc(CCc3nc(-c4ccccc4)cn3C)nn12,c1_hetaryl_alkyl_c2_hetaryl,8.2516645346586053,28-Nov-2011,13-Oct-11,5sem_15,train,train,val,test,train,test,val
16,O=C(Nc1cc(-c2ccccn2)nn1CCN1CCOCC1)c1nc(C2CC2)ccc1Nc1cncnc1,aminohetaryl_c1_amide,8.8150248093017387,09-Nov-2009,15-Jun-09,5sf4_16,test,train,train,train,train,train,train
17,Cc1nc2ccccc2nc1CCc1nc(-c2ccccc2)cn1-c1ccccn1,c1_hetaryl_alkyl_c2_hetaryl,8.740645072691965,02-May-2011,12-Apr-11,5sec_17,train,train,train,test,train,test,val
18,O=C(Nc1cc(-c2ccccn2)nn1CCc1ccccc1)c1nc(C2CC2)ccc1Nc1cncnc1,aminohetaryl_c1_amide,8.3087416418668885,14-Sep-2009,15-Jun-09,5sf4_18,test,train,train,train,train,train,val
19,CN(CCO)c1nc(OCc2nc(-c3ccccc3)cn2C)nc2ccc(Cl)cc12,c1_hetaryl_alkyl_c2_hetaryl,8.5094796906366508,02-May-2011,09-Feb-11,5sed_19,train,train,train,test,train,test,train
20,CCN(C)C(=O)c1cnn(C)c1C(=O)Nc1ccn2cc(-c3cccc(OCC(=O)OC)c3)nc2n1,aryl_c1_amide_c2_hetaryl,8.100954766518938,29-Sep-2010,21-Jul-10,5sfr_20,train,test,train,train,train,train,train
21,Cn1ncc(C(=O)N2CCC2)c1C(=O)NCCc1nc(-c2ccccc2)nn1-c1cccnc1,aryl_c1_amide_c2_hetaryl,9.2968236013513024,07-Nov-2011,10-May-11,5se8_21,train,test,val,val,train,test,test
22,Cn1ncc(C(=O)N2CCC2)c1C(=O)NCCc1nc(-c2ccccc2)oc1-c1cccnc1,aryl_c1_amide_c2_hetaryl,8.738023808602187,13-Feb-2012,08-Nov-11,5sf8_22,train,test,test,val,train,,train
23,Cc1c(Cl)cc(OCC(=O)N2CCOCC2)c2nc(CCc3nc(N4CCCC4)nn3C)nn12,c1_hetaryl_alkyl_c2_hetaryl,8.683400697906139,13-Feb-2013,01-Feb-12,5sej_23,val,val,,test,test,,train
24,O=C(Nc1cc(-c2ccccn2)nn1C1CCOCC1)c1nc(C2CC2)ccc1Nc1cncnc1,aminohetaryl_c1_amide,8.8504729862456517,09-Nov-2009,15-Jun-09,5sf4_24,test,train,train,train,train,train,test
25,Cn1cc(-c2ccccc2)nc1CCc1ccc2nc(C(F)(F)F)cn2n1,c1_hetaryl_alkyl_c2_hetaryl,7.0819539281928574,13-Feb-2012,13-Oct-11,5sem_25,train,train,test,test,train,,train
